date	metric	mudanca	resultado
2026-08-26	85	baseline pos-HID-autosuspend+porta-frontal	ACEITE
2026-08-26	95	disable omarchy.media; health monitor timer	ACEITE
2026-08-26	90	media disabled + health timer ativo	ACEITE
2026-08-28	90	librepods autoresume: sink-restore poll 6x500ms + resume >=1 pod (b79edcc)	ACEITE
2026-08-28	90	Armor Critical (ARC revival) instalado; Electron abre via XWayland (X11 hint) 	 ACEITE
2026-09-03	85	wifi 5GHz rear + band-a pin + mac-rand never (SCORE 75->85)	ACEITE
2026-09-03	85	TV bitdepth=10 (XRGB2101010) 4K@60 ok; VRR off (evitado TCL flicker)	ACEITE
2026-09-03	85	instalados nexthop (io.github.x3me) + quadrant (dev.bvisagie)	ACEITE
2026-09-03	85	dongle wifi 3-1 autosuspend->on (evita flap; rollback: echo auto)	ACEITE
